year,id,price
2003,UKI,2.3599999
2003,UKJ,2.3499999
2003,UKK,2.21
2003,UKH,2.25
2003,UKF,2.1300001
2003,UKG,2.1500001
2003,UKE,2.0999999
2003,UKD,2.05
2003,UKC,2.03
2003,UKL,2.05
2003,UKM,2.05
2003,UKN,2.2
2004,UKI,2.4000001
2004,UKJ,2.4000001
2004,UKK,2.29
2004,UKH,2.3
2004,UKF,2.25
2004,UKG,2.2
2004,UKE,2.1800001
2004,UKD,2.0999999
2004,UKC,2.0999999
2004,UKL,2.0999999
2004,UKM,2.05
2004,UKN,2.25
2005,UKI,2.45
2005,UKJ,2.5
2005,UKK,2.3
2005,UKH,2.3499999
2005,UKF,2.3
2005,UKG,2.25
2005,UKE,2.3
2005,UKD,2.1500001
2005,UKC,2.1500001
2005,UKL,2.1900001
2005,UKM,2.1700001
2005,UKN,2.3499999
2006,UKI,2.5
2006,UKJ,2.5999999
2006,UKK,2.45
2006,UKH,2.46
2006,UKF,2.4000001
2006,UKG,2.3
2006,UKE,2.4000001
2006,UKD,2.25
2006,UKC,2.25
2006,UKL,2.3
2006,UKM,2.25
2006,UKN,2.4000001
2007,UKI,2.5999999
2007,UKJ,2.7
2007,UKK,2.55
2007,UKH,2.5999999
2007,UKF,2.5
2007,UKG,2.45
2007,UKE,2.5
2007,UKD,2.3
2007,UKC,2.3499999
2007,UKL,2.3499999
2007,UKM,2.3
2007,UKN,2.5
2008,UKI,2.7
2008,UKJ,2.8
2008,UKK,2.7
2008,UKH,2.8
2008,UKF,2.5999999
2008,UKG,2.55
2008,UKE,2.55
2008,UKD,2.3499999
2008,UKC,2.4000001
2008,UKL,2.5
2008,UKM,2.5
2008,UKN,2.6500001
2009,UKI,2.8
2009,UKJ,2.9000001
2009,UKK,2.8
2009,UKH,2.8499999
2009,UKF,2.7
2009,UKG,2.5999999
2009,UKE,2.6500001
2009,UKD,2.45
2009,UKC,2.5
2009,UKL,2.5999999
2009,UKM,2.5999999
2009,UKN,2.8
2010,UKI,2.9000001
2010,UKJ,3.0
2010,UKK,2.95
2010,UKH,3.0
2010,UKF,2.8499999
2010,UKG,2.7
2010,UKE,2.8499999
2010,UKD,2.495
2010,UKC,2.5999999
2010,UKL,2.77
2010,UKM,2.7
2010,UKN,2.9000001
2011,UKI,3.0999999
2011,UKJ,3.2
2011,UKK,3.0999999
2011,UKH,3.1500001
2011,UKF,2.95
2011,UKG,2.8
